lat,lng,Place,Country,Language,Year,Translator,img,Title,Publisher,Address,Comments
60.395436182,25.6654592275,Porvoo,Finland,Finnish,1968,Tyyni Haapanen,https://raw.githubusercontent.com/digitalkoine/finnish_storymap/main/finnish/1968%20Haapanen.jpg,Kotiopettajattaren romaani,WSOY,Porvoo. Finland,Haapanen's translation was first published in 1915
60.395436182,25.6654592275,Porvoo,Finland,Finnish,1986,Tyyni Haapanen,https://raw.githubusercontent.com/digitalkoine/finnish_storymap/main/finnish/1986%20Haapanen.jpg,Kotiopettajattaren romaani,WSOY,Porvoo. Finland,
60.9965551963,24.4610852717,Hämeenlinna,Finland,Finnish,1987,Kaarina Ruohtula,https://raw.githubusercontent.com/digitalkoine/finnish_storymap/main/finnish/1987%20Ruohtula.jpg,Kotiopettajattaren romaani,Karisto,Pairoistentie 2. Hämeenlinna. Finland,Ruohtula's translation was first published in 1973
60.9965551963,24.4610852717,Hämeenlinna,Finland,Finnish,1993,Kaarina Ruohtula,https://raw.githubusercontent.com/digitalkoine/finnish_storymap/main/finnish/1993%20Ruohtula.jpg,Kotiopettajattaren romaani,Karisto,Pairoistentie 2. Hämeenlinna. Finland,
60.9965551963,24.4610852717,Hämeenlinna,Finland,Finnish,2008,Kaarina Ruohtula,https://raw.githubusercontent.com/digitalkoine/finnish_storymap/main/finnish/2008%20Ruohtula.jpg,Kotiopettajattaren romaani,Karisto,Pairoistentie 2. Hämeenlinna. Finland,
