lat,lng,Place,Country,Language,Year,Translator,Title,Publisher,Address,Comments
60.395436182,25.6654592275,Porvoo,Finland,Finnish,1968,Tyyni Haapanen,Kotiopettajattaren romaani,WSOY,Porvoo. Finland,
60.395436182,25.6654592275,Porvoo,Finland,Finnish,1986,Tyyni Haapanen,Kotiopettajattaren romaani,WSOY,Porvoo. Finland,
60.9965551963,24.4610852717,Hämeenlinna,Finland,Finnish,1987,Kaarina Ruohtula,Kotiopettajattaren romaani,Karisto,Pairoistentie 2. Hämeenlinna. Finland,
60.9965551963,24.4610852717,Hämeenlinna,Finland,Finnish,1993,Kaarina Ruohtula,Kotiopettajattaren romaani,Karisto,Pairoistentie 2. Hämeenlinna. Finland,
60.9965551963,24.4610852717,Hämeenlinna,Finland,Finnish,2008,Kaarina Ruohtula,Kotiopettajattaren romaani,Karisto,Pairoistentie 2. Hämeenlinna. Finland,
